session_id,if_norm,transformer_score,base_score,graph_boost,fused_risk_score
SESS_081e3e19a266,0.6605064122809022,0.6948084831237793,0.6793725512444846,0.1,69
SESS_09009edbf9c0,0.5595187407919107,0.6948074698448181,0.6339275417710099,0.1,65
SESS_0b46c606d9b4,0.6379809049553449,0.6948117613792419,0.6692378759884883,0.1,68
SESS_19d39cd7bc9d,0.5941812944457842,0.39704635739326477,0.4857570790668986,0.1,55
SESS_1d9c0491c30e,0.7028911307878031,0.6948162317276001,0.6984499363046914,0.1,71
SESS_210f86dbf87b,0.7698567272202967,0.6948076486587524,0.7285797340114475,0.1,73
SESS_27c6a8c5446f,0.7249694091334549,0.6948094367980957,0.7083814243490074,0.1,71
SESS_29a1f94f7b6f,0.6965400919242227,0.6948108077049255,0.6955889856036093,0.1,70
SESS_2b0cff5eb8d8,0.48464921621934404,0.6948087215423584,0.600236944147002,0.1,62
SESS_2c4e191e573d,0.7060348235151324,0.6948057413101196,0.6998588283023754,0.1,71
SESS_3608dbdd342b,0.9090386816238628,0.19485799968242645,0.5162393065560729,0.1,55
SESS_46247f5682e1,0.6820508991767407,0.6948093175888062,0.6890680293033767,0.1,70
SESS_4c12c8a0fd46,0.8180269211975334,0.4177829921245575,0.5978927602073967,0.1,62
SESS_4dce4bc19087,0.681648943995001,0.6948063969612122,0.6888855431264171,0.1,70
SESS_4e8dc5823064,0.6966213371954176,0.6948086023330688,0.6956243330211258,0.1,70
SESS_50c64bef7592,0.5942191707736318,0.6948152184486389,0.6495469969948857,0.1,66
SESS_55d684bd997a,0.8580761354370965,0.141821026802063,0.4641358256878281,0.1,55
SESS_57d040a00a96,0.6631162593030331,0.6948058009147644,0.6805455071894854,0.1,69
SESS_59fdfdf02e12,0.7037735925245174,0.6948169469833374,0.6988474374768685,0.1,71
SESS_6489ee7a8309,0.6609435313975196,0.6948123574256897,0.6795713857130132,0.1,69
SESS_656739640a4f,0.6368635124230966,0.6948091983795166,0.6687336396991277,0.1,68
SESS_73f28d1692b1,0.7106668749812663,0.6948059797286987,0.7019433825923542,0.1,71
SESS_77082f846f36,0.6613482023512556,0.6948044896125793,0.6797491603449837,0.1,69
SESS_7b741421c27b,0.6622340293035861,0.6948016285896301,0.6801462089109104,0.1,69
SESS_7b8d2fae15b2,0.7256717889367595,0.6948025822639465,0.7086937252667125,0.1,71
SESS_7f450b560d3b,0.7562853697596115,0.6948071122169495,0.7224723281111474,0.1,73
SESS_80e935820b11,0.6838127116767158,0.694805383682251,0.6898586812797602,0.1,70
SESS_83e1aeb36ddf,0.8698175414451608,0.19485843181610107,0.498590031149178,0.1,55
SESS_844626e0a61c,0.7091902382080316,0.6948074698448181,0.7012797156082642,0.1,71
SESS_96da95c60b3f,0.5682361274058606,0.6948044896125793,0.637848726619556,0.1,65
SESS_9838a652b2b0,0.8987907844798342,0.08726916462182999,0.4524538935579319,0.1,55
SESS_9f8c07e9556e,0.6888731237712339,0.6948037147521973,0.6921349488107638,0.1,70
SESS_ID_3db65921,0.5385003563699785,0.57988440990448,0.5612615858139544,0.1,58
SESS_ID_7ba58b48,0.5803092765235117,0.9918659329414368,0.8066654375533706,0.1,80
SESS_ID_9ea3c027,0.547847543443215,0.9839249849319458,0.787690136262017,0.1,79
SESS_ID_b5846456,0.5465733085513143,0.9988794922828674,0.7953417096036686,0.1,79
SESS_a17752f55507,0.6796767837363401,0.6948033571243286,0.6879963990997338,0.1,70
SESS_bf5330561e3d,0.7560621697416802,0.6948068737983704,0.7223717569728598,0.1,73
SESS_ca9b5e53dc4b,0.804912089172786,0.19485807418823242,0.46938238093128154,0.1,55
SESS_d60a65d5fc57,0.847785363820774,0.23812779784202576,0.5124737025324625,0.1,55
SESS_db706db42886,0.6251997170380109,0.6948046088218689,0.6634824075191328,0.1,67
SESS_def7f4d33a53,0.8467962526671398,0.2381283938884735,0.5120289303388734,0.1,55
SESS_df73221e7abd,0.6647519603326639,0.6948155164718628,0.6812869162092234,0.1,69
SESS_e425a887b972,0.7349708790590076,0.6948033571243286,0.7128787419949343,0.1,72
SESS_e5ad79c5399f,0.6319116757905687,0.6948018670082092,0.6665012809602711,0.1,68
SESS_f4b63c90c9ff,0.5866574984550357,0.3724009692668915,0.4688164074015564,0.1,55
SESS_fbda1daa6b55,0.7209619865609903,0.6948145627975464,0.7065809034910961,0.1,71
